,company_names,rating_new,employer_size,industry,review,salaries,jobs,location
1600,Abercrombie & Fitch,3.7,10000+ Employees,"Department, Clothing & Shoe Stores",8.6T,9,109,6301 Fitch Path 
1601,Garena,3.9,5001 to 10000 Employees,Internet & Web Services,763,56,20,2 office locations
1602,Clarks,3.7,10000+ Employees,"Department, Clothing & Shoe Stores",2.8T,28,257,3 office locations
1603,A10 Networks,4.0,501 to 1000 Employees,Enterprise Software & Network Solutions,363,36,13,2 office locations
1604,Svam International,3.9,501 to 1000 Employees,Software Development,209,91,8,7 office locations
1605,NxtWave Disruptive Technologies,4.3,501 to 1000 Employees,Education Support & Training Services,290,215,24,"Plot No 30, East Wing, Ground Floor, Financial District, Nanakramguda, Serilingampalli "
1606,MattsenKumar,3.6,1001 to 5000 Employees,N/A,251,217,4,"Headquarters in Woodburn, United States"
1607,Selfridges,3.8,1001 to 5000 Employees,"Department, Clothing & Shoe Stores",1.6T,43,136,"Headquarters in London, United Kingdom"
1608,Collabera Digital,4.0,10000+ Employees,Information Technology Support Services,296,195,--,22 office locations
1609,Tata Consumer Products,3.9,1001 to 5000 Employees,Food & Beverage Manufacturing,262,219,5,6 office locations
1610,Infor,4.0,10000+ Employees,Enterprise Software & Network Solutions,4.9T,1.1T,335,22 office locations
1611,Capgemini Invent,4.0,5001 to 10000 Employees,Business Consulting,4.1T,1T,246,10 office locations
1612,Kyndryl,3.7,10000+ Employees,Information Technology Support Services,3.4T,2T,635,9 office locations
1613,IHS Markit,4.0,10000+ Employees,Business Consulting,4.1T,1.2T,6,29 office locations
1614,HERE Technologies,3.6,5001 to 10000 Employees,Software Development,3.2T,1.8T,74,18 office locations
1615,AMD,4.1,10000+ Employees,Computer Hardware Development,4.7T,857,1.2T,25 office locations
1616,Chegg,4.1,1001 to 5000 Employees,Internet & Web Services,3.3T,2T,42,8 office locations
1617,Red Hat,4.1,10000+ Employees,Enterprise Software & Network Solutions,4.6T,973,165,36 office locations
1618,Yes Bank,3.9,10000+ Employees,Investment & Asset Management,2.5T,3.1T,1,24 office locations
1619,Uber,3.9,10000+ Employees,Internet & Web Services,29T,2T,1.6T,16 office locations
1620,New Look,3.5,5001 to 10000 Employees,"Department, Clothing & Shoe Stores",1.9T,45,165,3 office locations
1621,Informa,3.9,10000+ Employees,Publishing,1.6T,34,217,25 office locations
1622,Hilton Garden Inn,3.7,1001 to 5000 Employees,Hotels & Resorts,1.8T,28,1.2T,26 office locations
1623,Market Managers,4.3,51 to 200 Employees,Advertising & Public Relations,257,235,--,"Headquarters in Independence, United States"
1624,Aditya Birla Capital,4.3,10000+ Employees,Investment & Asset Management,200,236,--,10 office locations
1625,Xome,3.8,1001 to 5000 Employees,Real Estate,317,162,99,9 office locations
1626,Shine.com,3.9,Unknown,HR Consulting,333,170,3,3 office locations
1627,Anunta Technology Management Services,4.3,501 to 1000 Employees,Information Technology Support Services,184,164,--,5 office locations
1628,Amdocs Development Centre India,4.0,10000+ Employees,N/A,730,1.1T,--,"Headquarters in Pune, India"
1629,Pavan,3.8,201 to 500 Employees,Computer Hardware Development,182,274,--,"Headquarters in Hyderābād, India"
1630,D. E. Shaw & Co. - Investment Firm,4.4,1001 to 5000 Employees,Investment & Asset Management,264,57,49,"New York, NY"
1631,John Crane,3.6,5001 to 10000 Employees,Machinery Manufacturing,539,95,--,5 office locations
1632,Miles Education,4.1,201 to 500 Employees,Education Support & Training Services,334,215,10,8 office locations
1633,LANXESS,4.1,10000+ Employees,Chemical Manufacturing,503,75,110,8 office locations
1634,Caresoft Global,3.8,1001 to 5000 Employees,Information Technology Support Services,227,203,30,"Headquarters in Burr Ridge, United States"
1635,Syniti,4.1,501 to 1000 Employees,Information Technology Support Services,335,133,24,13 office locations
1636,MarketStar,3.9,1001 to 5000 Employees,Information Technology Support Services,1.3T,41,63,5 office locations
1637,HTC,3.8,10000+ Employees,Electronics Manufacturing,753,70,13,5 office locations
1638,smallcase,4.4,201 to 500 Employees,Internet & Web Services,97,200,1,"51, 3rd Floor, Le Parc Richmonde, Richmond Rd, Shanthala Nagar, Richmond Town,Karnataka "
1639,GSS Infotech,3.7,501 to 1000 Employees,Information Technology Support Services,177,84,2,"Hyderābād, TG"
1640,Total Environment Building Systems,3.7,501 to 1000 Employees,Real Estate,173,200,1,2 office locations
1641,SmartStream Technologies,3.7,501 to 1000 Employees,Information Technology Support Services,250,198,23,19 office locations
1642,Aragen Life Sciences,3.9,1001 to 5000 Employees,Biotech & Pharmaceuticals,252,197,9,5 office locations
1643,Amaris Consulting,3.8,5001 to 10000 Employees,Business Consulting,1.5T,34,1.3T,6 office locations
1644,Hasbro,3.5,5001 to 10000 Employees,Consumer Product Manufacturing,1.3T,44,109,11 office locations
1645,DLF,3.6,1001 to 5000 Employees,Real Estate,241,266,--,"Headquarters in New Delhi, India"
1646,marcus evans,3.9,1001 to 5000 Employees,Business Consulting,1.4T,23,--,24 office locations
1647,UT Southwestern Medical Center,3.9,10000+ Employees,Healthcare Services & Hospitals,2.5T,21,951,10 office locations
1648,Kofax,3.7,1001 to 5000 Employees,Computer Hardware Development,465,74,28,60 office locations
1649,IBI Group,4.0,1001 to 5000 Employees,Architectural & Engineering Services,647,69,153,8 office locations
1650,Syngene International Limited,3.8,1001 to 5000 Employees,Biotech & Pharmaceuticals,635,754,--,"Headquarters in Bengaluru, India"
1651,Hallmark,3.6,1001 to 5000 Employees,Consumer Product Manufacturing,3.3T,22,596,4 office locations
1652,Bacardi,4.2,5001 to 10000 Employees,Food & Beverage Manufacturing,824,38,100,12 office locations
1653,Jabong.com,3.9,501 to 1000 Employees,"Department, Clothing & Shoe Stores",251,179,--,"Headquarters in Gurgaon, India"
1654,Orchids The International School,3.8,501 to 1000 Employees,Primary & Secondary Schools,278,265,116,"Headquarters in Bengaluru, India"
1655,New Balance,3.9,5001 to 10000 Employees,"Department, Clothing & Shoe Stores",1.1T,54,315,6 office locations
1656,Porter,3.9,1001 to 5000 Employees,Shipping & Trucking,201,222,63,"Headquarters in Bengaluru, India"
1657,Carnival Corporation & plc,3.8,10000+ Employees,Hotels & Resorts,1.5T,20,123,14 office locations
1658,Vistara,3.7,501 to 1000 Employees,N/A,204,234,53,"Headquarters in New Delhi, India"
1659,Virgin Media,3.7,10000+ Employees,"Cable, Internet & Telephone Providers",2.1T,28,1,26 office locations
1660,Quovantis Technologies,3.7,201 to 500 Employees,Information Technology Support Services,169,195,--,3 office locations
1661,Indian Overseas Bank,3.9,10000+ Employees,Banking & Lending,264,266,1,"Headquarters in Chennai, India"
1662,Sun Knowledge,3.5,201 to 500 Employees,HR Consulting,221,320,3,"Headquarters in Calcutta, India"
1663,McCain Foods,3.9,10000+ Employees,Food & Beverage Manufacturing,718,56,317,10 office locations
1664,Mayo Clinic,3.8,10000+ Employees,Healthcare Services & Hospitals,3.7T,14,2.3T,23 office locations
1665,ASG Technologies,4.1,1001 to 5000 Employees,Computer Hardware Development,386,72,--,6 office locations
1666,Educational Initiatives,3.7,201 to 500 Employees,Primary & Secondary Schools,242,260,--,2 office locations
1667,Metro,3.6,10000+ Employees,Food & Beverage Stores,1.9T,39,1.2T,"Headquarters in Montreal, Canada"
1668,Thryve Digital,4.1,1001 to 5000 Employees,Healthcare Services & Hospitals,241,279,70,2 office locations
1669,Abhishek Industries,4.0,1 to 50 Employees,N/A,217,269,--,"Headquarters in Ludhiana, India"
1670,Etihad Airways,3.9,10000+ Employees,"Airlines, Airports & Air Transportation",1.4T,32,3,"Mumbai, MH"
1671,Prompt Personnel Private Limited,4.2,51 to 200 Employees,HR Consulting,165,98,1,8 office locations
1672,Sensiple,3.5,201 to 500 Employees,Information Technology Support Services,218,181,6,2 office locations
1673,Calyx,3.6,1001 to 5000 Employees,Biotech & Pharmaceuticals,277,119,17,"Headquarters in Nottingham, United Kingdom"
1674,peel-works,4.5,51 to 200 Employees,Enterprise Software & Network Solutions,291,207,8,6 office locations
1675,Holiday Inn Express,3.5,1 to 50 Employees,Hotels & Resorts,2.4T,21,1.5T,25 office locations
1676,Acuvate Software,3.6,51 to 200 Employees,Information Technology Support Services,221,155,7,4 office locations
1677,GetMyUni,3.7,1 to 50 Employees,N/A,294,233,8,"Bengaluru, KA"
1678,CollegeDekho,4.2,501 to 1000 Employees,N/A,308,238,23,"Headquarters in Gurgaon, India"
1679,Devoteam,3.9,5001 to 10000 Employees,Information Technology Support Services,2.3T,38,507,20 office locations
1680,Apollo Global Management,3.9,1001 to 5000 Employees,Investment & Asset Management,287,142,--,6 office locations
1681,The Cheesecake Factory,3.8,10000+ Employees,Restaurants & Cafes,5.6T,17,1.8T,"26901 Malibu Hills Rd Calabasas, California, 91301-5354, United States"
1682,Brookfield Properties,3.8,5001 to 10000 Employees,Real Estate,914,46,278,7 office locations
1683,Driver Hire,4.5,51 to 200 Employees,HR Consulting,232,150,533,11 office locations
1684,Optiver,3.7,501 to 1000 Employees,Stock Exchanges,568,8,56,6 office locations
1685,SS Supply Chain Solutions,3.8,201 to 500 Employees,N/A,258,172,27,2 office locations
1686,Union Bank,4.1,5001 to 10000 Employees,Banking & Lending,1.5T,44,2,34 office locations
1687,Gameskraft,4.0,501 to 1000 Employees,Sports & Recreation,155,220,8,2 office locations
1688,CEIPAL,3.9,501 to 1000 Employees,Enterprise Software & Network Solutions,279,193,--,4 office locations
1689,Optus,3.6,5001 to 10000 Employees,"Cable, Internet & Telephone Providers",2.1T,30,58,15 office locations
1690,ExcelSoft Technologies,3.7,51 to 200 Employees,Computer Hardware Development,257,224,9,"Headquarters in Mysore, India"
1691,Bata India,3.6,1001 to 5000 Employees,Consumer Product Manufacturing,273,234,21,"Headquarters in Gurgaon, India"
1692,AMC Entertainment,3.6,10000+ Employees,Culture & Entertainment,5.3T,18,386,27 office locations
1693,Hill & Knowlton,3.6,1001 to 5000 Employees,Advertising & Public Relations,854,43,51,18 office locations
1694,Branch,3.9,201 to 500 Employees,Software Development,325,48,--,7 office locations
1695,Lentra AI,4.0,501 to 1000 Employees,Information Technology Support Services,237,250,--,"Headquarters in Pune, India"
1696,Wishup,4.0,51 to 200 Employees,HR Consulting,212,211,--,2 office locations
1697,Adani Wilmar,4.1,1001 to 5000 Employees,Food & Beverage Manufacturing,254,234,--,7 office locations
1698,Hartford Steam Boiler,3.8,Unknown,Insurance Carriers,540,93,346,3 office locations
1699,Tata Chemicals,3.9,5001 to 10000 Employees,Chemical Manufacturing,277,213,44,"Headquarters in Mumbai, India"
1700,BairesDev,4.1,1001 to 5000 Employees,Information Technology Support Services,1.7T,3,3.3T,12 office locations
1701,CaratLane,4.1,1001 to 5000 Employees,Beauty & Personal Accessories Stores,196,244,89,2 office locations
1702,W3Global,4.4,201 to 500 Employees,HR Consulting,204,96,323,"1701 Legacy Dr,Suite 1000 "
1703,Medha Servo Drives,3.9,1001 to 5000 Employees,Taxi & Car Services,203,207,--,"Headquarters in Hyderābād, India"
1704,CRBTech,4.2,Unknown,Education Support & Training Services,339,99,1,"901 , 902 ,Pride Parmar Galaxy, Sadhu Waswani Chowk,  Agarkar Nagar, Camp,  Pune, Maharashtra 411001 "
1705,Gallup,4.5,1001 to 5000 Employees,Business Consulting,995,12,37,13 office locations
1706,VINAYA KUMAR,4.0,Unknown,N/A,199,289,3,"Headquarters in Rockledge, United States"
1707,Grant Thornton UK LLP,4.1,5001 to 10000 Employees,Accounting & Tax,1.2T,29,128,15 office locations
1708,Resurgent India,4.9,51 to 200 Employees,Investment & Asset Management,298,165,12,"Headquarters in Gurgaon, India"
1709,Streebo,4.3,51 to 200 Employees,Information Technology Support Services,192,181,2,"Ahmedabad, GJ"
1710,Carelon Global Solutions,3.9,10000+ Employees,Information Technology Support Services,2.2T,2.5T,55,"Headquarters in Indianapolis, United States"
1711,Saint-Gobain,4.0,10000+ Employees,Construction,5.1T,947,2T,27 office locations
1712,Tata Technologies,3.8,10000+ Employees,Research & Development,2.6T,2.4T,568,9 office locations
1713,Epsilon,4.1,5001 to 10000 Employees,Advertising & Public Relations,2.8T,1T,256,21 office locations
1714,Tata Steel,4.1,10000+ Employees,Metal & Mineral Manufacturing,2.7T,2.2T,367,5 office locations
1715,Jacobs,3.9,10000+ Employees,Architectural & Engineering Services,7.3T,675,3.8T,22 office locations
1716,H&M,3.5,10000+ Employees,"Department, Clothing & Shoe Stores",16.8T,366,1.7T,"Headquarters in Stockholm, Sweden"
1717,Fractal,4.1,1001 to 5000 Employees,Business Consulting,1.8T,2.2T,88,12 office locations
1718,Tietoevry,4.3,10000+ Employees,Information Technology Support Services,3.1T,1.7T,553,13 office locations
1719,Ey,3.9,Unknown,N/A,3.8T,1.4T,--,"Headquarters in Riyadh, Saudi Arabia"
1720,Safe Security,3.9,201 to 500 Employees,Enterprise Software & Network Solutions,284,178,20,3 office locations
1721,Harsha,3.7,501 to 1000 Employees,N/A,183,270,--,"Headquarters in Bengaluru, India"
1722,Covidien,4.1,10000+ Employees,Health Care Products Manufacturing,925,25,--,19 office locations
1723,The/Nudge Institute,4.2,201 to 500 Employees,"Civic, Welfare & Social Services",186,186,--,"Ground Floor, #15-19, Near Apj Abdul Kalam Enclave, Aswath Nagar Service Road, Orr, Dodda Nekkundi Extension, Marathahalli "
1724,FCM,3.6,10000+ Employees,Travel Agencies,377,131,37,6 office locations
1725,The Indian Hotels,4.0,10000+ Employees,Hotels & Resorts,276,257,115,"Headquarters in Mumbai, India"
1726,Cleveland Clinic,3.7,10000+ Employees,Healthcare Services & Hospitals,4.8T,16,2.9T,30 office locations
1727,Arizona State University,4.2,10000+ Employees,Colleges & Universities,5.4T,8,378,9 office locations
1728,Government of Canada,4.0,10000+ Employees,National Services & Agencies,2.8T,24,77,25 office locations
1729,Mace,4.1,5001 to 10000 Employees,Construction,867,41,614,6 office locations
1730,Sinch,3.7,1001 to 5000 Employees,Enterprise Software & Network Solutions,405,62,59,"Headquarters in Stockholm, Sweden"
1731,Global,3.5,1001 to 5000 Employees,Broadcast Media,555,64,63,15 office locations
1732,ArcGate,3.9,1001 to 5000 Employees,HR Consulting,185,230,11,G1-11 MIA Extn. 
1733,Toptal,3.7,501 to 1000 Employees,Internet & Web Services,1T,24,--,"Headquarters in Wilmington, United States"
1734,Quorum Software,4.0,1001 to 5000 Employees,Enterprise Software & Network Solutions,390,62,75,19 office locations
1735,RenewBuy,3.5,1001 to 5000 Employees,Insurance Agencies & Brokerages,239,253,52,"Gurgaon, HR"
1736,Everise,4.6,5001 to 10000 Employees,Information Technology Support Services,14.7T,12,39,11 office locations
1737,Aspiring Minds,3.9,501 to 1000 Employees,Enterprise Software & Network Solutions,253,179,--,4 office locations
1738,GovTech,3.8,1001 to 5000 Employees,National Services & Agencies,1T,47,66,"Singapore, "
1739,SourceFuse,4.0,201 to 500 Employees,Information Technology Support Services,194,196,4,4 office locations
1740,Raymond Limited,3.9,5001 to 10000 Employees,Consumer Product Manufacturing,270,250,9,"Headquarters in Mumbai, India"
1741,Tractebel,4.0,1001 to 5000 Employees,Architectural & Engineering Services,520,88,58,6 office locations
1742,Häfele,4.1,501 to 1000 Employees,Consumer Product Manufacturing,282,177,37,2 office locations
1743,Qualcomm,4.1,1 to 50 Employees,N/A,270,148,--,"Headquarters in Hyderābād, India"
1744,CareStack (Good Methods Global),3.8,501 to 1000 Employees,Enterprise Software & Network Solutions,200,253,3,"Headquarters in Celebration, United States"
1745,TopHire,4.0,1 to 50 Employees,Internet & Web Services,184,148,--,"Headquarters in Mumbai, India"
1746,IndiaMART InterMESH,3.5,1 to 50 Employees,N/A,209,328,--,"Headquarters in Thiruvananthapuram, India"
1747,Shipsy,3.9,51 to 200 Employees,Internet & Web Services,217,251,10,"Plot 149 Sector 44, Anu Tower "
1748,Entain,3.5,10000+ Employees,Gambling & Betting,1.5T,25,244,32 office locations
1749,Q-CONNECT,3.5,1 to 50 Employees,N/A,201,286,--,"Headquarters in Ghent, Belgium"
1750,FleishmanHillard,3.7,1001 to 5000 Employees,Advertising & Public Relations,1.1T,35,42,45 office locations
1751,Samsung Semiconductor India Research (SSIR),4.2,1001 to 5000 Employees,Software Development,272,209,--,"Goldstone building, Mahadevpura "
1752,Castrol,4.2,5001 to 10000 Employees,Metal & Mineral Manufacturing,343,133,4,"Atlanta, GA"
1753,Techwave Consulting,4.0,1001 to 5000 Employees,Information Technology Support Services,235,164,26,6 office locations
1754,SkillVertex,3.6,1 to 50 Employees,N/A,232,208,--,"Headquarters in Bengaluru, India"
1755,Ameex,4.0,51 to 200 Employees,Computer Hardware Development,231,198,--,"Headquarters in Schaumburg, United States"
1756,Qualtech Consultants Pvt.,4.5,51 to 200 Employees,Information Technology Support Services,343,184,--,"Headquarters in New Delhi, India"
1757,Object Technology Solutions,4.4,51 to 200 Employees,Information Technology Support Services,208,72,19,5 office locations
1758,Optumrx,3.7,Unknown,Drug & Health Stores,551,71,--,"Headquarters in Overland Park, United States"
1759,ICICI Prudential Mutual Fund,3.7,501 to 1000 Employees,N/A,224,285,--,"Headquarters in Mumbai, India"
1760,ECI Telecom,3.9,1001 to 5000 Employees,Electronics Manufacturing,322,134,2,4 office locations
1761,PIT Solutions,4.2,501 to 1000 Employees,Information Technology Support Services,191,199,--,"Headquarters in Rüti, Switzerland"
1762,The Vitamin Shoppe,3.5,1001 to 5000 Employees,Drug & Health Stores,1.8T,32,161,300 Harmon Meadow 
1763,Secureworks,3.5,1001 to 5000 Employees,Enterprise Software & Network Solutions,633,53,17,6 office locations
1764,University of Maryland,4.3,10000+ Employees,Colleges & Universities,4.3T,8,433,18 office locations
1765,M Square Media,4.4,501 to 1000 Employees,Colleges & Universities,332,186,17,"Headquarters in Kelowna, Canada"
1766,Walking Tree,4.4,201 to 500 Employees,Information Technology Support Services,203,127,3,3 office locations
1767,BAT,4.0,10000+ Employees,Consumer Product Manufacturing,5.8T,9,388,37 office locations
1768,Kore.ai,3.5,201 to 500 Employees,Information Technology Support Services,229,188,37,8 office locations
1769,Unicommerce Esolutions,4.0,201 to 500 Employees,Internet & Web Services,220,162,--,"PLot No 65, Second Floor. Landmark House "
1770,Aramex,3.5,5001 to 10000 Employees,Taxi & Car Services,640,59,33,"Manchester, ENG"
1771,DreamOrbit Softech,4.4,201 to 500 Employees,Enterprise Software & Network Solutions,266,177,--,"No 23,24, First Floor, AMR Tech Park 2, Hosur Main Road, Hongasandra, Bengaluru, Karnataka, 560068 "
1772,Bounteous,3.9,1001 to 5000 Employees,Enterprise Software & Network Solutions,369,61,58,6 office locations
1773,SA Technologies Inc,4.1,501 to 1000 Employees,Information Technology Support Services,200,125,63,7 office locations
1774,Dotdash Meredith,3.6,1001 to 5000 Employees,Publishing,419,68,116,"Headquarters in New York, United States"
1775,PATH,4.0,1001 to 5000 Employees,"Civic, Welfare & Social Services",476,78,106,4 office locations
1776,PlaySimple Games,4.1,51 to 200 Employees,Computer Hardware Development,119,152,--,"Headquarters in Bengaluru, India"
1777,Liebherr Group,4.0,10000+ Employees,Machinery Manufacturing,902,43,1.5T,20 office locations
1778,Talent Zone Consultants,5.0,Unknown,N/A,4,549,12,"Headquarters in Bengaluru, India"
1779,Innohub Technologies,4.3,5001 to 10000 Employees,Information Technology Support Services,172,269,--,6 office locations
1780,Planview,4.5,1001 to 5000 Employees,Enterprise Software & Network Solutions,369,72,43,6 office locations
1781,Arvind Lifestyle Brands,3.9,Unknown,"Department, Clothing & Shoe Stores",243,271,1,"Bengaluru, KA"
1782,Schindler Elevator Corporation,3.7,5001 to 10000 Employees,Machinery Manufacturing,582,73,956,7 office locations
1783,Airo Global Software,4.9,51 to 200 Employees,Information Technology Support Services,225,231,--,Second floor Thapasya building  
1784,UPES,3.8,201 to 500 Employees,N/A,267,209,13,"Headquarters in New Delhi, India"
1785,Vaco,3.6,1001 to 5000 Employees,"Staffing, Recruitment & Subcontracting",1.3T,30,782,43 office locations
1786,Welocalize,3.7,1001 to 5000 Employees,HR Consulting,1T,38,68,20 office locations
1787,Media.Monks,3.7,5001 to 10000 Employees,Advertising & Public Relations,1.2T,75,4,12 office locations
1788,msg global solutions,4.3,1001 to 5000 Employees,Information Technology Support Services,304,127,387,18 office locations
1789,SembCorp,3.5,5001 to 10000 Employees,Energy & Utilities,510,91,248,3 office locations
1790,Archetype,4.1,501 to 1000 Employees,Advertising & Public Relations,332,114,--,20 office locations
1791,QA,3.8,1001 to 5000 Employees,Education Support & Training Services,762,57,206,12 office locations
1792,TraceLink,3.8,501 to 1000 Employees,Enterprise Software & Network Solutions,271,86,22,7 office locations
1793,Dasa,3.9,10000+ Employees,Healthcare Services & Hospitals,4T,15,143,"Headquarters in São Paulo, Brazil"
1794,Blenheim Chalcot,3.7,51 to 200 Employees,Investment & Asset Management,205,121,50,4 office locations
1795,Gati Kintetsu Express,3.5,1001 to 5000 Employees,Taxi & Car Services,259,236,3,"Headquarters in Hyderābād, India"
1796,University of Texas at Austin,4.3,10000+ Employees,Colleges & Universities,5.2T,10,848,2 office locations
1797,Masai School,3.9,1 to 50 Employees,N/A,217,275,--,"Headquarters in Bengaluru, India"
1798,Doosan,4.0,1001 to 5000 Employees,Investment & Asset Management,417,96,113,2 office locations
1799,University of Minnesota,4.2,Unknown,Colleges & Universities,4.4T,8,1.1T,5 office locations
1800,Applied Materials,4.1,10000+ Employees,Electronics Manufacturing,4.1T,743,889,9 office locations
1801,Airbus,4.1,1001 to 5000 Employees,Aerospace & Defence,6.7T,626,3.8T,30 office locations
1802,Blue Yonder,4.1,5001 to 10000 Employees,Enterprise Software & Network Solutions,3.1T,1.7T,258,32 office locations
1803,Pfizer,4.0,10000+ Employees,Biotech & Pharmaceuticals,9.4T,458,879,33 office locations
1804,Altimetrik,4.1,5001 to 10000 Employees,Information Technology Support Services,2.1T,1.7T,34,17 office locations
1805,Other,4.0,1 to 50 Employees,"Civic, Welfare & Social Services",2.1T,2.1T,2,"Headquarters in London, United Kingdom"
1806,Maruti Suzuki,3.8,10000+ Employees,Transportation Equipment Manufacturing,2.4T,2.8T,379,"Lucknow, UP"
1807,CitiusTech,3.5,5001 to 10000 Employees,Information Technology Support Services,2.2T,2.1T,41,20 office locations
1808,Domino's,3.5,10000+ Employees,Restaurants & Cafes,17.6T,363,41.3T,"Headquarters in Ann Arbor, United States"
1809,Nutanix,4.1,5001 to 10000 Employees,Enterprise Software & Network Solutions,2.1T,946,167,37 office locations
1810,SRI International,3.8,1001 to 5000 Employees,Research & Development,576,57,42,8 office locations
1811,Nextcomm,4.5,10000+ Employees,N/A,268,279,--,"Headquarters in Ahmedabad, India"
1812,Adglobal360,3.9,201 to 500 Employees,Advertising & Public Relations,236,228,22,"Gurgaon, HR"
1813,GITAM University,4.0,1 to 50 Employees,Colleges & Universities,235,239,--,"Headquarters in Visakhapatnam, India"
1814,Newmark,3.7,5001 to 10000 Employees,Real Estate,779,33,158,19 office locations
1815,CoinSwitch,3.9,501 to 1000 Employees,Internet & Web Services,237,165,--,"Prestige Tech Park, Electra Block, Wing A, 1st Floor, Marathahalli - Sarjapur Outer Ring Rd, Kadubeesanahalli, Marathahalli "
1816,Thinkitive Technologies,4.0,201 to 500 Employees,Information Technology Support Services,148,159,2,3 office locations
1817,Mutual Mobile,4.5,201 to 500 Employees,Information Technology Support Services,233,129,--,2 office locations
1818,Blend360,4.3,501 to 1000 Employees,Business Consulting,232,67,8,7 office locations
1819,HELLO,4.2,51 to 200 Employees,Publishing,262,139,2,"London, ENG"
1820,Gaurav,4.0,501 to 1000 Employees,Machinery Manufacturing,163,276,--,"Headquarters in New Delhi, India"
1821,Haleon,3.8,10000+ Employees,Health Care Products Manufacturing,510,52,594,75 office locations
1822,Zigram,3.7,201 to 500 Employees,Enterprise Software & Network Solutions,194,233,--,"Paras Twin Tower, Golf Course Road "
1823,Atlas Systems,4.0,501 to 1000 Employees,Information Technology Support Services,189,108,21,3 office locations
1824,ToXSL Technologies,4.1,51 to 200 Employees,Information Technology Support Services,325,127,15,7 office locations
1825,Sdgc,3.9,501 to 1000 Employees,Information Technology Support Services,237,147,11,2 office locations
1826,Yamaha Motor Solutions India,4.0,501 to 1000 Employees,Information Technology Support Services,156,221,--,2 office locations
1827,Charter Global,3.9,51 to 200 Employees,Information Technology Support Services,214,65,--,4 office locations
1828,Mount Sinai Health System,3.5,10000+ Employees,Healthcare Services & Hospitals,3.9T,10,2.1T,19 office locations
1829,Orange Mantra,4.2,201 to 500 Employees,Information Technology Support Services,227,176,13,2 office locations
1830,Bausch + Lomb,3.5,10000+ Employees,Biotech & Pharmaceuticals,714,50,1T,55 office locations
1831,Changepond,3.6,201 to 500 Employees,Information Technology Support Services,231,185,--,"Headquarters in Chennai, India"
1832,DynPro,3.9,51 to 200 Employees,Information Technology Support Services,203,195,--,5 office locations
1833,Edubridge Learning,3.9,501 to 1000 Employees,Education Support & Training Services,255,213,2,"501, Sapphire Building, S.V Road, Khar West "
1834,Udemy,3.9,1001 to 5000 Employees,Education Support & Training Services,591,50,66,9 office locations
1835,IPE Global,4.0,201 to 500 Employees,Business Consulting,276,186,239,3 office locations
1836,Softsuave,3.9,51 to 200 Employees,Information Technology Support Services,130,141,3,"Headquarters in Chennai, India"
1837,IDeaS - A SAS Company,4.2,201 to 500 Employees,Enterprise Software & Network Solutions,211,171,173,"Headquarters in Minneapolis, United States"
1838,Odessa,4.0,501 to 1000 Employees,Enterprise Software & Network Solutions,740,926,--,2 office locations
1839,Universal Studios,3.7,10000+ Employees,Film Production,2T,32,114,9 office locations
1840,Hikvision,3.5,10000+ Employees,Security & Protective,426,94,36,5 office locations
1841,Toluna,3.8,1001 to 5000 Employees,Advertising & Public Relations,500,117,17,4 office locations
1842,L Brands,3.8,10000+ Employees,"Department, Clothing & Shoe Stores",1.2T,35,--,3 office locations
1843,Head Digital Works,3.8,201 to 500 Employees,Internet & Web Services,181,179,39,2 office locations
1844,Shiash Info Solutions,3.7,51 to 200 Employees,Information Technology Support Services,253,120,--,"Headquarters in Chennai, India"
1845,Interview Kickstart,4.2,51 to 200 Employees,Education Support & Training Services,250,203,--,2 office locations
1846,SunTec Web Services,3.8,1001 to 5000 Employees,Information Technology Support Services,232,226,10,2 office locations
1847,ImpactQA,4.1,201 to 500 Employees,Information Technology Support Services,248,149,16,5 office locations
1848,DSV Air & Sea,3.6,10000+ Employees,Taxi & Car Services,955,46,--,"Miami, FL"
1849,NETSCOUT,3.6,1001 to 5000 Employees,Information Technology Support Services,526,64,3,13 office locations
1850,SKP Group,3.6,51 to 200 Employees,N/A,260,196,59,"Headquarters in Mumbai, India"
1851,SBI General Insurance,3.5,1001 to 5000 Employees,N/A,248,248,4,"Headquarters in Mumbai, India"
1852,Here Solution,3.7,1001 to 5000 Employees,N/A,242,230,--,"Headquarters in Mumbai, India"
1853,Euronet,3.5,5001 to 10000 Employees,Financial Transaction Processing,331,113,91,14 office locations
1854,ESAB,3.6,5001 to 10000 Employees,Machinery Manufacturing,491,89,167,4 office locations
1855,CHEP,4.0,10000+ Employees,Shipping & Trucking,970,36,9,23 office locations
1856,Sales Manager,4.2,1 to 50 Employees,N/A,226,191,1,"Headquarters in Dhaka, Bangladesh"
1857,e-con Systems,4.2,501 to 1000 Employees,Computer Hardware Development,145,181,14,"Chennai, TN"
1858,University of British Columbia,4.2,10000+ Employees,Colleges & Universities,4.5T,7,238,3 office locations
1859,SSP Limited,3.6,501 to 1000 Employees,Computer Hardware Development,246,88,3,5 office locations
1860,Power Home Remodeling,4.6,1001 to 5000 Employees,Construction,4.7T,27,805,33 office locations
1861,G2,4.4,501 to 1000 Employees,Internet & Web Services,272,80,36,5 office locations
1862,Cox & Kings,3.6,1001 to 5000 Employees,Travel Agencies,286,196,--,"Headquarters in Mumbai, India"
1863,MyOperator,4.3,51 to 200 Employees,Enterprise Software & Network Solutions,264,182,2,"New Delhi, DL"
