,company_names,rating_new,employer_size,industry,review,salaries,jobs,location
154,JUSPAY,4.1,51 to 200 Employees,Internet & Web Services,356,543,3,"Bengaluru, KA"
155,Druva,3.8,1001 to 5000 Employees,Enterprise Software & Network Solutions,516,401,40,8 office locations
156,Check Point Software Technologies,3.7,5001 to 10000 Employees,Enterprise Software & Network Solutions,2.2T,159,72,23 office locations
157,NLB Services,4.3,5001 to 10000 Employees,Information Technology Support Services,753,416,62,17 office locations
158,Berger Paints,3.6,1001 to 5000 Employees,Consumer Product Manufacturing,597,569,2,"Headquarters in Bengaluru, India"
159,CME Group,4.0,1001 to 5000 Employees,Investment & Asset Management,1.5T,114,247,6 office locations
160,Coforge,3.5,10000+ Employees,Information Technology Support Services,6.2T,3.9T,64,16 office locations
161,PayPal,3.9,10000+ Employees,Internet & Web Services,8.5T,2.3T,11,16 office locations
162,Novartis,3.9,10000+ Employees,Biotech & Pharmaceuticals,10.3T,2.3T,1.3T,31 office locations
163,HP Inc.,4.2,10000+ Employees,Computer Hardware Development,10.2T,2.3T,2.3T,26 office locations
164,NVIDIA,4.6,10000+ Employees,Computer Hardware Development,5.4T,1.9T,1.8T,23 office locations
165,Bharti Airtel,4.1,10000+ Employees,Telecommunications Services,6.3T,5.6T,3.5T,26 office locations
166,Anonymous,3.7,1 to 50 Employees,N/A,5T,3.5T,--,"Headquarters in Bangkok, Thailand"
167,PepsiCo,4.0,10000+ Employees,Food & Beverage Manufacturing,20.3T,964,3.3T,25 office locations
168,Foundever,3.6,10000+ Employees,Telecommunications Services,16.1T,1.3T,916,36 office locations
169,S&P Global,4.1,10000+ Employees,Research & Development,7.1T,2.8T,1.2T,25 office locations
170,Gold's Gym,3.5,5001 to 10000 Employees,Sports & Recreation,2.3T,156,1T,29 office locations
171,DTCC,3.5,5001 to 10000 Employees,Financial Transaction Processing,1.5T,136,284,9 office locations
172,Progress,3.9,1001 to 5000 Employees,Enterprise Software & Network Solutions,796,257,15,12 office locations
173,AirAsia,3.8,10000+ Employees,Internet & Web Services,1.3T,202,105,"Jalan Pekeliling 5, Kuala Lumpur International Airport (klia2),  Selangor, Malaysia "
174,UL Solutions,3.6,501 to 1000 Employees,Business Consulting,1.9T,98,473,25 office locations
175,Kirloskar,3.7,1001 to 5000 Employees,Transportation Equipment Manufacturing,662,579,20,"Headquarters in Pune, India"
